person_id,gender,prefecture_name,city_name,age,industry_type,family_type,role_household_type,employment_type,company_size,total_income,extraversion,agreeableness,conscientiousness,neuroticism,openness,sociability,assertiveness,energy_level,compassion,respectfulness,trust,organization,productivity,responsibility,anxiety,depression,emotional_volatility,intellectual_curiosity,aesthetic_sensitivity,creative_imagination,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security,Conformity,Tradition,Benevolence,Universalism,PVQ_Self_direction_Thought,PVQ_Self_direction_Action,PVQ_Stimulation,PVQ_Hedonism,PVQ_Achievement,PVQ_Power_Dominance,PVQ_Power_Resources,PVQ_Face,PVQ_Security_Personal,PVQ_Security_Societal,PVQ_Tradition,PVQ_Conformity_Rules,PVQ_Conformity_Interpersonal,PVQ_Humility,PVQ_Benevolence_Care,PVQ_Benevolence_Dependability,PVQ_Universalism_Nature,PVQ_Universalism_Concern,PVQ_Universalism_Tolerance
1,女性,東京都,大田区,51,サービス業,夫婦と子供のみ世帯,妻・女親,一般労働者,5人未満,150000,0.625,0.625,0.625,0.64583,0.58333,0.75,0.4375,0.6875,0.8125,0.6875,0.375,0.4375,0.8125,0.625,0.75,0.625,0.5625,0.5625,0.5,0.6875,0.66667,0,0.66667,-0.66667,-0.66667,-0.16667,0.33333,-0.16667,0,0,0.66667,0.66667,0,0.66667,-0.66667,-1.33333,0,0,0.66667,-1,0.33333,1,-0.33333,-0.66667,0.66667,-0.66667,-0.66667,0.33333,0.33333
2,男性,東京都,大田区,55,専門・技術サービス業,夫婦と子供のみ世帯,夫・男親,自営業主,5人未満,1000000,0.520833,0.52833,0.458333,0.5,0.666667,0.5625,0.5,0.5,0.5625,0.5,0.5,0.375,0.5,0.5,0.5625,0.4375,0.5,0.6875,0.6875,0.625,0.508772,0.175439,0.175439,0.175439,-0.49123,0.175439,-0.49123,0.008772,0.175439,0.6433,0.175439,0.842105,0.175439,0.175439,0.175439,-0.82456,-0.15789,-0.49123,0.175439,0.175439,0.175439,-0.49123,-0.49123,-0.15789,0.175439,0.175439,-0.15789,0.175439,0.175439
3,女性,東京都,大田区,39,教育・学習支援業,単独世帯,単独世帯（女性）,一般労働者,100～999人,350000,0.395833,0.416667,0.145833,0.958333,0.41667,0.625,0.1875,0.375,0.5,0.5,0.25,0.25,0,0.1875,0.9375,1,0.9375,0.375,0.8125,0.0625,0.780702,-2.05263,0.28702,-2.05263,-1.55263,0.447368,0.780702,0.780702,0.114035,-0.27485,-0.38596,1.947368,-2.05263,0.280702,-2.05263,-3.05263,-0.05263,1.947368,1.947368,-1.05263,1.280702,-0.38596,1.947368,0.280702,1.614035,-1.38596,-1.38596,-1.05263,1.614035
4,男性,東京都,大田区,39,教育・学習支援業,夫婦と子供のみ世帯,夫・男親,一般労働者,100～999人,500000,0.75,0.6875,0.5,0.354167,0.541667,0.875,0.6875,0.6875,0.75,0.5625,0.75,0.3125,0.6875,0.5,0.3125,0.25,0.5,0.625,0.4375,0.5625,0.675439,0.842105,1.842105,0.508772,-0.15789,0.675439,-1.32456,-0.99123,0.675439,-0.38012,0.175439,1.175439,0.842105,1.842105,0.508772,0.175439,-0.49123,-1.15789,0.842105,0.508772,-1.15789,-1.49123,-1.15789,-0.82456,0.842105,0.508772,-1.49123,-0.82456,1.175439
5,男性,東京都,大田区,22,,夫婦と子供のみ世帯,子供（男性）,,,,0.395833,0.4583333,0.875,0.25,0.5625,0.4375,0.3125,0.4375,0.3125,0.625,0.4375,0.9375,0.75,0.9375,0.25,0.1875,0.3125,0.8125,0.375,0.5,1.640351,0.807018,0.473684,0.807018,-0.859649,0.640351,0.307018,-1.192982,-0.692982,-0.859649,1.473684,1.807018,0.807018,0.473684,0.807018,-0.859649,-0.859649,0.807018,1.140351,0.140351,-0.192982,0.140351,0.473684,-2.192982,-0.859649,-0.526316,-1.526316,-1.192982,0.140351
6,女性,東京都,武蔵村山市,24,,夫婦と子供のみ世帯,子供（女性）,,,,0.416667,0.6875,0.3125,0.333333,0.833333,0.5,0.25,0.5,0.5625,0.75,0.75,0.25,0.25,0.4375,0.375,0.375,0.25,0.875,0.625,1,0.236842,0.736842,0.736842,-0.929825,-0.763158,0.570175,0.236842,-0.596491,0.403509,0.181287,0.070175,0.403509,0.736842,0.736842,-0.929825,-1.263158,-0.263158,-1.263158,1.070175,0.070175,-1.263158,-0.929825,1.403509,0.070175,0.403509,0.403509,0.070175,0.403509,0.070175
7,女性,埼玉県,さいたま市見沼区,22,,単独世帯,単独世帯（女性）,,,,0.291667,0.729167,0.583333,0.708333,0.4375,0.4375,0.1875,0.25,0.75,0.75,0.6875,0.625,0.4375,0.6875,0.75,0.75,0.625,0.5,0.4375,0.375,0.464912,-0.035088,0.964912,-0.035088,-1.368421,0.131579,0.298246,-0.535088,0.298246,0.298246,0.298246,0.631579,-0.035088,0.964912,-0.035088,-1.368421,-1.368421,-0.368421,0.298246,-0.035088,-0.368421,0.964912,-0.368421,-0.701754,0.631579,-0.035088,-0.368421,0.631579,0.631579
8,男性,東京都,日野市,22,,夫婦と子供のみ世帯,子供（男性）,,,,0.208333,0.583333,0.375,0.4375,0.604167,0.1875,0.1875,0.25,0.5,0.6875,0.5625,0.375,0.25,0.5,0.6875,0.4375,0.1875,0.75,0.5625,0.5,1.140351,0.807018,1.473684,-0.192982,-0.859649,1.640351,-0.692982,-1.526316,-0.526316,-0.081871,0.807018,1.473684,0.807018,1.473684,-0.192982,-1.192982,-0.526316,-0.192982,1.140351,2.140351,-1.526316,-1.192982,-0.192982,-1.526316,0.473684,-1.526316,0.140351,0.140351,-0.526316
9,男性,埼玉県,さいたま市見沼区,21,,単独世代,単独世帯（男性）,,,,0.791667,0.708333,0.458333,0.458333,0.541667,0.9375,0.6875,0.75,0.75,0.8125,0.5625,0.5,0.4375,0.4375,0.625,0.3125,0.4375,0.8125,0.4375,0.375,0.719298,1.052632,1.052632,-0.280702,-0.447368,0.385965,-0.447368,-1.114035,0.385965,0.163743,0.385965,1.052632,1.052632,1.052632,-0.280702,-0.614035,-0.280702,-1.280702,0.385965,0.385965,-0.947368,0.052632,-0.947368,-1.280702,0.052632,0.719298,-0.614035,0.719298,0.385965
10,男性,埼玉県,さいたま市見沼区,23,,単独世帯,単独世帯（男性）,,,,0.291667,0.583333,0.666667,0.375,0.583333,0.25,0.25,0.375,0.5,0.75,0.5,0.875,0.5625,0.5625,0.5,0.5,0.125,0.8125,0.3125,0.625,0.324561,-0.508772,0.491228,0.491228,-1.342105,1.157895,0.657895,-1.008772,0.324561,-0.064327,-0.175439,0.824561,-0.508772,0.491228,0.491228,-1.508772,-1.175439,-0.508772,0.824561,1.491228,-2.175439,0.824561,0.491228,0.157895,0.824561,-0.175439,-0.842105,0.157895,0.491228
11,男性,埼玉県,吉川市,21,,夫婦と子供のみ世帯,子供（男性）,,,,0.375,0.791667,0.541667,0.416667,0.854167,0.3125,0.25,0.5625,0.6875,0.9375,0.75,0.625,0.5625,0.4375,0.5,0.5625,0.1875,0.9375,1,0.625,1.473684,0.473684,0.807018,-0.192982,-1.359649,-0.192982,-0.859649,-0.192982,0.140351,0.584795,1.140351,1.807018,0.473684,0.807018,-0.192982,-2.859649,0.140351,-0.859649,-0.192982,-0.192982,0.473684,-0.192982,-1.526316,-0.859649,0.140351,0.140351,0.140351,0.140351,1.473684
12,男性,東京都,品川区,22,,夫婦と子供のみ世帯,子供（男性）,,,,0.729167,0.8125,0.270833,0.770833,0.666667,0.75,0.6875,0.75,0.8125,0.8125,0.8125,0.1875,0.125,0.5,0.6875,0.75,0.875,0.5,0.75,0.75,-0.587719,0.912281,0.578947,-0.421053,-0.921053,0.078947,0.745614,-0.754386,0.412281,0.245614,-0.421053,-0.754386,0.912281,0.578947,-0.421053,-1.754386,-0.087719,0.245614,0.912281,-0.754386,0.245614,0.245614,1.245614,-1.754386,0.912281,-0.087719,-0.421053,0.245614,0.912281
13,男性,千葉県,市川市,22,,単独世帯,単独世帯（男性）,,,,0.145833,0.520833,0.333333,0.479167,0.4375,0.0625,0,0.375,0.375,0.6875,0.5,0.5,0.25,0.25,0.5,0.3125,0.625,0.5625,0.6875,0.0625,-0.184211,0.649123,1.315789,1.315789,-0.684211,1.149123,-1.184211,-0.850877,0.482456,-0.350877,0.649123,-1.017544,0.649123,1.315789,1.315789,-1.350877,-0.017544,0.315789,1.315789,0.982456,-1.017544,-1.017544,-1.350877,-0.684211,-0.684211,1.649123,-1.350877,-0.017544,0.315789
14,男性,東京都,江東区,22,,単独世帯,単独世帯（男性）,,,,0.854167,0.9375,0.6875,0.458333,0.583333,1,0.625,0.9375,0.875,1,0.9375,0.6875,0.8125,0.5625,0.5,0.625,0.25,0.5625,0.5625,0.625,0.991228,1.157895,1.157895,1.491228,0.157895,0.991228,-1.842105,-2.175439,1.324561,-1.064327,1.157895,0.824561,1.157895,1.157895,1.491228,-0.508772,0.824561,0.491228,0.824561,1.157895,-1.842105,-3.175439,-0.508772,-2.508772,1.491228,1.157895,-1.175439,-1.175439,-0.842105
15,男性,埼玉県,さいたま市,21,,夫婦と子供のみ世帯,子供（男性）,,,,0.4375,0.354167,0.270833,0.333333,0.5,0.5,0.1875,0.625,0.125,0.375,0.5625,0.3125,0.375,0.125,0.5,0.1875,0.3125,0.5625,0.375,0.5625,1.780702,1.614035,2.280702,-0.385965,-1.052632,0.114035,-1.719298,-0.719298,0.780702,-0.052632,1.947368,1.614035,1.614035,2.280702,-0.385965,-2.052632,-0.052632,-1.719298,-0.719298,0.947368,-0.052632,-1.385965,-2.052632,-1.385965,0.614035,0.947368,-1.052632,-0.052632,0.947368